Sub_Category_Name,Category_Name,Brand,Product_Name,Weight,Price,productid,Image,Product_Rating
Gourmet World Food,Household,ORGANIC ORIGINS,Butter - Almond Cacao Crunchy,200 g ,590.0,202229607.0,https://www.bigbasket.com/media/uploads/p/s/40117614_2-organic-origins-butter-almond-cacao-crunchy.jpg,4.6
Gourmet World Food,Groceries,ORGANIC ORIGINS,Butter - Almond Cacao Crunchy,200 g ,590.0,202000000000.0,https://www.bigbasket.com/media/uploads/p/s/40117614_2-organic-origins-butter-almond-cacao-crunchy.jpg,4.6
