Sub_Category_Name,Category_Name,Product_Name,Weight,Price,productid,Image,Product_Rating
Gourmet World Food,Household,Butter - Almond Cacao Crunchy,200 g ,590.0,202229607.0,https://www.bigbasket.com/media/uploads/p/s/40117614_2-organic-origins-butter-almond-cacao-crunchy.jpg,4.6
Gourmet World Food,Groceries,Butter - Almond Cacao Crunchy,200 g ,590.0,202000000000.0,https://www.bigbasket.com/media/uploads/p/s/40117614_2-organic-origins-butter-almond-cacao-crunchy.jpg,4.6
Kitchen Garden Pets,Groceries,Bravura Clipper,1 pc ,12500.0,202220647.0,https://www.bigbasket.com/media/uploads/p/s/40178357_4-wahl-bravura-clipper.jpg,4.1
Kitchen Garden Pets,Groceries,"Premium Cloth Dryer/Drying Stand - Foldable, Golden, BB 1433",1 pc ,11729.0,202224603.0,https://www.bigbasket.com/media/uploads/p/s/40177186_2-dp-premium-cloth-dryerdrying-stand-foldable-golden-bb-1433.jpg,4.2
Gourmet World Food,Groceries,"Butter - Almond, Smooth",200 g ,490.0,202229606.0,https://www.bigbasket.com/media/uploads/p/s/40117610_2-organic-origins-butter-almond-smooth.jpg,4.7
