Category,Sub Category,Simplified Category,Brand Name,Product Name,Weight,MRP/Unit,Product ID ,Image URL,Rating ,No of Users Purchased
Kitchen Garden Pets,Pet Food Accessories,Groceries,Wahl,Bravura Clipper,1 pc ,12500.0,202220647,https://www.bigbasket.com/media/uploads/p/s/40178357_4-wahl-bravura-clipper.jpg,4.1,78
Kitchen Garden Pets,Storage Accessories,Groceries,DP,"Premium Cloth Dryer/Drying Stand - Foldable, Golden, BB 1433",1 pc ,11729.0,202224603,https://www.bigbasket.com/media/uploads/p/s/40177186_2-dp-premium-cloth-dryerdrying-stand-foldable-golden-bb-1433.jpg,4.2,73
